Title,Year,Summary,Genre
Luv Ki Arrange Marriage,2024,Luv Ki Arrange Marriage (transl. Luv's Arranged Marriage) is a 2024 Indian Hindi-language romantic comedy-drama film directed by Ishrat R.,"drama, comedy, romantic"
Ishq Vishk Rebound,2024,Ishq Vishk Rebound is a 2024 Indian Hindi-language romantic comedy-drama film directed by Nipun Dharmadhikari and produced by Ramesh Taurani and Jaya Taurani under Tips Films.,"drama, comedy, romantic"
Maharaj,2024,Maharaj is a 2024 Indian Hindi-language historical drama film directed by Siddharth P.,"drama, historical"
Hamare Baarah,2024,"Hamare Baarah[a] is an Indian Hindi-language drama film directed by Kamal Chandra and produced by Radhika G Film & Newtech Media Entertainment, along with producers Ravi S.",drama
Hemant Pandey,2024,"Hemant Pandey is an Indian film, theatre and television actor, known for his role as Pandeyji in the series Office Office..",Unknown
Jahangir National University,2024,Jahangir National University is a 2024 Indian Hindi-language political drama film directed by Vinay Sharma and produced by Pratima Datta under the banner of Mahakaal Movies Pvt.,"drama, political"
Rautu Ka Raaz,2024,"Rautu Ka Raaz is a 2024 Indian Hindi-language mystery film directed by Anand Surapur and produced by Zee Studios along with Umesh Kr Bansal, Anand Surapur and Chintu Srivastava.",mystery
Sharmajee Ki Beti,2024,"Sharmajee Ki Beti is a 2024 Hindi-language comedy, drama film written and directed by Tahira Kashyap Khurrana, in her directorial debut, under Applause Entertainment and Ellipsis Entertainment, for Amazon Prime Video.","drama, comedy"
Kooki,2024,"Kooki is a 2024 Indian Hindi-language drama film produced by Niri Media Opc Private Limited and starring Ritisha Khaund, Rajesh Tailang, Dipannita Sharma, Devoleena Bhattacharjee and Ritu Shivpuri..",drama
Kill,2024,Summary not available,Unknown
Wild Wild Punjab,2024,Wild Wild Punjab is a 2024 Indian Hindi-language comedy film directed by Simarpreet Singh.,comedy
Sarfira,2024,"Sarfira (transl. Crazy) is a 2024 Indian Hindi-language drama film directed by Sudha Kongara and produced by 2D Entertainment, Abundantia Entertainment and Cape Of Good Films starring Akshay Kumar, Paresh Rawal and Radhika Madan.",drama
Kakuda,2024,"Kakuda is a 2024 Hindi-language comedy horror film directed by Aditya Sarpotdar and produced by Ronnie Screwvala, under RSVP Movies.","comedy, horror"
Bad Newz,2024,Bad Newz is a 2024 Indian Hindi-language comedy film directed by Anand Tiwari.,"comedy, war"
Accident or Conspiracy: Godhra,2024,Accident or Conspiracy: Godhra is a 2024 Indian Hindi-language drama film produced under the banner of OM Trinetra Films and Artverse Studios directed by M.K Shivaaksh.,drama
Bloody Ishq,2024,Bloody Ishq (transl. Bloody Love) is a 2024 Indian Hindi-language horror thriller film directed by Vikram Bhatt and written by Mahesh Bhatt.,"thriller, horror"
Mimoh Chakraborty,2024,"Mahaakshay Chakraborty (born 30 July 1984), also known as Mimoh Chakraborty and Mimoh, is an Indian actor who works in Hindi films.",Unknown
Auron Mein Kahan Dum Tha,2024,Auron Mein Kahan Dum Tha[a] is a 2024 Indian Hindi-language romantic thriller film written and directed by Neeraj Pandey.,"thriller, romantic"
Ulajh,2024,Ulajh (transl. Entangle) is a 2024 Indian Hindi-language spy thriller film directed by Sudhanshu Saria and produced by Junglee Pictures.,thriller
Aliya Basu Gayab Hai,2024,Aliya Basu Gayab Hai is a 2024 Indian Hindi -language film directed by Preeti Singh and produced by Rehab Pictures Private Limited.,Unknown
Phir Aayi Hasseen Dillruba,2024,Phir Aayi Hasseen Dillruba (transl. 'Beautiful beloved is back') is a 2024 Indian Hindi-language romantic thriller film directed by Jayprad Desai and written by Kanika Dhillon.,"thriller, romantic"
Ghudchadi,2024,Ghudchadi (transl. Horse Riding) is a 2024 Indian Hindi-language romantic comedy film directed by Binoy Gandhi and written by Deepak Kapur Bhardwaj.,"comedy, romantic"
Ghuspaithiya,2024,Ghuspaithiya (transl. The Intruder) is a 2024 Indian Hindi-language crime drama film written and directed by Susi Ganesan.,"drama, crime"
Khel Khel Mein,2024,Khel Khel Mein (transl. All in fun and games) is a 2024 Indian Hindi-language comedy drama film written and directed by Mudassar Aziz.,"drama, comedy"
Vedaa,2024,Vedaa is a 2024 Indian Hindi-language action drama film directed by Nikkhil Advani and written by Aseem Arora.,"action, drama"
Stree 2,2024,"Stree 2: Sarkate Ka Aatank (transl. Stree 2: Terror of the Headless) is a 2024 Indian Hindi-language comedy horror film directed by Amar Kaushik, written by Niren Bhatt and produced jointly by Maddock Films and Jio Studios.","comedy, horror"
Tikdam,2024,Tikdam (transl. Trickeries) is a 2024 Indian Hindi-language film directed by Vivek Anchalia.,Unknown
A Wedding Story,2024,A Wedding Story is an Indian Hindi-language supernatural horror film directed by Abhnav Pareek.,horror
Pad Gaye Pange,2024,"Pad Gaye Pange is a 2024 Indian Hindi-language comedy film directed by Santosh Kumar, featuring Samarpan Singh, Rajesh Sharma, Faisal Malik, Rajpal Yadav and Rrajesh Yadav..",comedy
Visfot,2024,Visfot (transl. Explosion) is a 2024 Indian Hindi-language crime thriller film written by Abbas Dalal and Hussain Dalal and directed by Kookie Gulati and produced by Sanjay Gupta and Anuradha Gupta under the banner of White Feather Films.,"thriller, crime"
The Buckingham Murders,2024,The Buckingham Murders is a 2023 Indian crime thriller film directed by Hansal Mehta and starring Kareena Kapoor Khan as a grieving British-Indian detective who is assigned the case of a murdered child in Buckinghamshire.,"thriller, crime"
Sector 36,2024,Sector 36 is 2024 Indian Hindi-language crime thriller film directed by Aditya Nimbalkar and written by Bodhayan Roychaudhury.,"thriller, crime"
Berlin,2024,"Berlin is a 2023 Indian Hindi-language spy thriller film written and directed by Atul Sabharwal, produced by Zee Studios and Yippie Ki Yay Motion Pictures.",thriller
Adbhut,2024,Adbhut is an Indian Hindi-language supernatural horror film written and directed by Sabbir Khan.,horror
Kahan Shuru Kahan Khatam,2024,"Kahan Shuru Kahan Khatam (transl. Where does it begin, where does it end?) is a 2024 Indian Hindi-language romantic comedy film, written by Laxman Utekar and Rishi Virmani, and directed by Saurabh Dasgupta.","comedy, romantic"
Yudhra,2024,Yudhra is a 2024 Indian Hindi-language action thriller film directed by Ravi Udyawar and produced by Excel Entertainment.,"action, thriller, war"
Nasha Jurm Aur Gangsters,2024,This is a list of Hindi cinema films released in 2024..,Unknown
Jo Tera Hai Woh Mera Hai,2024,Jo Tera Hai Woh Mera Hai (transl. What's Yours Is Mine) is a 2024 Indian Hindi-language comedy drama film directed by Raj Trivedi and written by Aditya Rawal.,"drama, comedy"
"Love, Sitara",2024,"Love, Sitara is a 2024 Indian Hindi-language drama film directed by Vandana Kataria.",drama
Binny And Family,2024,"Binny and Family is a 2024 Hindi-language film directed by Ssanjay Tripaathy and produced by Balaji Motion Pictures, Mahaveer Jain Films and Waveband Productions.",family
CTRL,2024,"CTRL is a 2024 Indian Hindi-language screenlife thriller film directed by Vikramaditya Motwane, written by Motwane and Avinash Sampath with dialogues by Sumukhi Suresh.",thriller
Amar Prem Ki Prem Kahani,2024,"Amar Prem Ki Prem Kahani (transl. Amar Prem's Love Story), is a 2024 Indian Hindi-language drama film directed by Hardik Gajjar and written by Rupinder Inderjit.",drama
The Signature,2024,The Signature is a 2024 Hindi-language drama film directed by Gajendra Ahire and produced by K.,drama
Jigra,2024,"Jigra (transl. Courage) is a 2024 Indian Hindi-language action thriller film directed by Vasan Bala, who also co-wrote it with Debashish Irengbam.","action, thriller"
Vicky Vidya Ka Woh Wala Video,2024,Vicky Vidya Ka Woh Wala Video[a] is a 2024 Indian Hindi-language comedy film starring Rajkummar Rao and Triptii Dimri as the titular couple in pursuit of their missing sex tape.,comedy
Aayushmati Geeta Matric Pass,2024,"Aayushmati Geeta Matric Pass is an Indian family drama film starring Kashika Kapoor, Anuj Saini, Alka Amin and Atul Srivastav.","drama, family"
Do Patti,2024,"Do Patti (transl. Two Cards) is a 2024 Indian Hindi-language drama thriller film directed by debutante Shashanka Chaturvedi and written by Kanika Dhillon, who makes her production debut under her venture Kathha Pictures alongside actress Kriti Sanon in her production debut under her venture Blue Butterfly Films.","drama, thriller"
Bandaa Singh Chaudhary,2024,Bandaa Singh Chaudhary is a 2024 Indian Hindi-language action drama film directed by Abhishek Saxena and produced by Arbaaz Khan.,"action, drama"
The Miranda Brothers,2024,The Miranda Brothers is a 2024 Indian Hindi-language sports drama film directed and written by Sanjay Gupta.,"drama, sports"
Navras Katha Collage,2024,Navras Katha Collage is a 2024 Indian Hindi-language drama film written and directed by Praveen Hingonia.,drama
Bhool Bhulaiyaa 3,2024,"Bhool Bhulaiyaa 3 (transl. Labyrinth 3) is a 2024 Indian Hindi-language Horror Comedy film directed by Anees Bazmee, written by Aakash Kaushik, and produced by T-Series Films and Cine1 Studios.","comedy, horror"
Singham Again,2024,"Singham Again is a 2024 Indian Hindi-language action film written and directed by Rohit Shetty, who also co-produced it under Rohit Shetty Picturez, alongside Reliance Entertainment, Jio Studios and Devgn Films.",action
Vijay 69,2024,Vijay 69 is a 2024 Indian Hindi-language drama film directed by Akshay Roy starring Anupam Kher in the titular role alongside Chunky Pandey and Mihir Ahuja.,drama
Isha Talwar,2024,Isha Talwar (born 22 December 1987) is an Indian actress who predominantly works in Malayalam and Hindi films.,war
Khwaabon Ka Jhamela,2024,Khwaabon Ka Jhamela (transl. The Trouble Of Dreams) is a 2024 Indian Hindi-language romantic comedy film directed and written by Danish Aslam.,"comedy, romantic"
The Sabarmati Report,2024,"The Sabarmati Report is a 2024 Indian Hindi-language political drama film, based on true events, written by Avinash and Arjun of a story by Aseem Arrora with direction by Ranjan Chandel, later replaced by Dheeraj Sarna.","drama, political"
Naam,2024,Naam - The Missing Identity (also known as 'Benaam) is a 2024 Indian Hindi-language action thriller film co-written and directed by Anees Bazmee and produced by Anil Roongta.,"action, thriller"
I Want to Talk,2024,"I Want to Talk is a 2024 Indian Hindi-language drama film directed by Shoojit Sircar, written by Ritesh Shah and produced by Rising Sun Films and Kino Works.",drama
Sikandar Ka Muqaddar,2024,"Sikandar Ka Muqaddar (transl. The Fate of Sikandar) is a 2024 Indian Hindi-language heist thriller film directed by Neeraj Pandey, starring Jimmy Sheirgill, Avinash Tiwary, Tamannaah Bhatia, Rajeev Mehta and Divya Dutta.","thriller, war"
Agni,2024,Agni is a 2024 Indian Hindi-language action thriller written and directed by Rahul Dholakia.,"action, thriller"
Zero Se Restart,2024,Zero se Restart is an Indian Hindi-language Drama film.,drama
Despatch,2024,Despatch is an Indian Hindi-language crime drama film directed by Kanu Behl.,"drama, crime"
Vanvaas,2024,Vanvaas (lit. Exile) is a 2024 Indian Hindi-language family drama film directed by Anil Sharma.,"drama, family"
Sharmila Tagore,2024,"Sharmila Tagore (Bengali: [ʃɔɾˈmila ˈʈʰakuɾ] ⓘ; born 8 December 1944) also known by her married name Begum Ayesha Sultana, is an Indian actress primarily known for her work in Hindi and Bengali films.",Unknown
Baby John,2024,Baby John is a 2024 Indian Hindi-language action thriller film directed by Kalees.,"action, thriller"
Kisko Tha Pata,2024,No Wikipedia page available,Unknown
Chhaava,2025,"Chhaava (transl. Lion cub) is a 2025 Indian Hindi-language historical action film based on the life of Sambhaji Maharaj, the second ruler of the Maratha Empire, who is played by Vicky Kaushal.","action, historical"
Raid 2,2025,Raid 2 is a 2025 Indian Hindi-language crime thriller film directed by Raj Kumar Gupta.,"thriller, crime"
Sikandar,2025,Sikandar is a 2025 Indian Hindi-language action drama film written and directed by A.,"action, drama"
Sky Force,2025,Sky Force is a 2025 Indian Hindi-language action drama film centred around India's first airstrike at the Sargodha airbase of Pakistan in the Indo-Pakistani air war of 1965.,"action, drama, war"
Kesari Chapter 2,2025,"Kesari Chapter 2: The Untold Story of Jallianwala Bagh is a 2025 Indian Hindi-language historical courtroom drama film directed by Karan Singh Tyagi and produced by Dharma Productions, Leo Media Collective, and Cape of Good Films.","drama, historical"
Jaat,2025,"Jaat is a 2025 Indian Hindi-language action thriller film written and directed by Gopichand Malineni (in his Hindi film debut), and produced by Mythri Movie Makers and People Media Factory.","action, thriller"
Bhool Chuk Maaf,2025,"Bhool Chuk Maaf (transl. Forgive my mistakes) is a 2025 Indian Hindi-language fantasy romantic comedy film written and directed by Karan Sharma, and produced by Dinesh Vijan under Maddock Films, in association with Amazon MGM Studios.","comedy, romantic, fantasy"
Housefull 5,2025,"Housefull 5 is a 2025 Hindi-language Indian comedy thriller film co-written and directed by Tarun Mansukhani and produced by Sajid Nadiadwala, Warda Nadiadwala and Firuzi Khan under production banner Nadiadwala Grandson Entertainment.","comedy, thriller, war"
The Diplomat,2025,The Diplomat is a 2025 Indian Hindi-language political thriller film directed by Shivam Nair and written by Ritesh Shah.,"thriller, political"
Deva,2025,"Deva is a 2025 Indian Hindi-language action thriller film directed by Rosshan Andrrews, and produced by Siddharth Roy Kapur under Roy Kapur Films.","action, thriller"
The Rabbit House,2025,The Rabbit House is a 2025 Indian Hindi-language thriller suspense film written and directed by Vaibhav Kulkarni.,thriller
Fateh,2025,Fateh is a 2025 Indian action thriller film written and directed by Sonu Sood in his directorial debut.,"action, thriller"
Match Fixing,2025,Match Fixing: The Nation At Stake is an Indian Hindi-language political thriller film directed by Kedar Gaekwad and produced by Pallavi Gurjar under ArtArena Creations Pvt.,"thriller, political"
Emergency,2025,"Emergency is a 2025 Indian Hindi-language historical biographical drama film directed and co-produced by Kangana Ranaut, based on a screenplay by Ritesh Shah and story written by Ranaut.","drama, biographical, historical"
Azaad,2025,Azaad (transl. Free) is a 2025 Indian Hindi-language period action drama film directed by Abhishek Kapoor and produced by Ronnie Screwvala and Pragya Kapoor.,"action, drama"
Mission Grey House,2025,Mission Grey House is a 2025 Indian suspense thriller film released in theatres on 17 January 2025..,thriller
Hisaab Barabar,2025,Hisaab Barabar is a 2024 Indian Hindi-language satirical thriller film written and directed by Ashwni Dhir.,thriller
Sky Force,2025,Sky Force is a 2025 Indian Hindi-language action drama film centred around India's first airstrike at the Sargodha airbase of Pakistan in the Indo-Pakistani air war of 1965.,"action, drama, war"
Sweet Dreams,2025,Sweet Dreams is a 2025 Indian Hindi-language romantic drama film written and directed by Victor Mukherjee.,"drama, romantic"
The Storyteller,2025,The Storyteller is a 2022 Indian Hindi-language drama film directed by Ananth Mahadevan and written by filmmaker Kireet Khurana.,drama
Deva,2025,"Deva is a 2025 Indian Hindi-language action thriller film directed by Rosshan Andrrews, and produced by Siddharth Roy Kapur under Roy Kapur Films.","action, thriller"
Loveyapa,2025,Loveyapa is a 2025 Indian Hindi-language romantic comedy film directed by Advait Chandan.,"comedy, romantic"
Badass Ravi Kumar,2025,Badass Ravi Kumar is a 2025 Indian Hindi-language musical action film directed by Keith Gomes in his feature film directorial debut and produced by Himesh Reshammiya Melodies.,"action, musical"
